,POS,Sentiment
0,"[(u'crust', 'NN'), (u'good', 'NN')]",0
1,"[(u'not', 'RB'), (u'tasti', 'JJ'), (u'textur', 'NN'), (u'nasti', 'NN')]",0
2,"[(u'stop', 'VB'), (u'late', 'NN'), (u'may', 'MD'), (u'bank', 'NN'), (u'holiday', 'NN'), (u'rick', 'VB'), (u'steve', 'JJ'), (u'recommend', 'NN'), (u'love', 'NN')]",1
3,"[(u'the', 'DT'), (u'select', 'JJ'), (u'menu', 'NN'), (u'great', 'JJ'), (u'price', 'NN')]",1
4,"[(u'now', 'RB'), (u'I', 'PRP'), (u'get', 'VBP'), (u'angri', 'JJ'), (u'I', 'PRP'), (u'want', 'VBP'), (u'damn', 'JJ'), (u'pho', 'NN')]",0
5,"[(u'honeslti', 'NN'), (u'tast', 'NN'), (u'that', 'IN'), (u'fresh', 'JJ')]",0
6,"[(u'the', 'DT'), (u'potato', 'NN'), (u'like', 'IN'), (u'rubber', 'NN'), (u'could', 'MD'), (u'tell', 'VB'), (u'made', 'VBN'), (u'ahead', 'RB'), (u'time', 'NN'), (u'kept', 'VBD'), (u'warmer', 'NN')]",0
7,"[(u'the', 'DT'), (u'fri', 'NN'), (u'great', 'JJ')]",1
8,"[(u'A', 'DT'), (u'great', 'JJ'), (u'touch', 'NN')]",1
9,"[(u'servic', 'JJ'), (u'prompt', 'NN')]",1
10,"[(u'would', 'MD'), (u'go', 'VB'), (u'back', 'RB')]",0
11,"[(u'the', 'DT'), (u'cashier', 'NN'), (u'care', 'NN'), (u'ever', 'RB'), (u'I', 'PRP'), (u'say', 'VBP'), (u'still', 'RB'), (u'end', 'VBP'), (u'wayyy', 'NN'), (u'overpr', 'NN')]",0
12,"[(u'I', 'PRP'), (u'tri', 'VBP'), (u'cape', 'NN'), (u'cod', 'NN'), (u'ravoli', 'NN'), (u'chicken', 'NN'), (u'cranberri', 'NN'), (u'mmmm', 'NN')]",1
13,"[(u'I', 'PRP'), (u'disgust', 'VBP'), (u'I', 'PRP'), (u'pretti', 'VBP'), (u'sure', 'JJ'), (u'human', 'JJ'), (u'hair', 'NN')]",0
14,"[(u'I', 'PRP'), (u'shock', 'VBP'), (u'sign', 'JJ'), (u'indic', 'JJ'), (u'cash', 'NN')]",0
15,"[(u'highli', 'NNS'), (u'recommend', 'VBP')]",1
16,"[(u'waitress', 'NN'), (u'littl', 'NN'), (u'slow', 'JJ'), (u'servic', 'NN')]",0
17,"[(u'thi', 'JJ'), (u'place', 'NN'), (u'worth', 'JJ'), (u'time', 'NN'), (u'let', 'VB'), (u'alon', 'NN'), (u'vega', 'NN')]",0
18,"[(u'like', 'IN')]",0
19,"[(u'the', 'DT'), (u'burritto', 'NN'), (u'blah', 'NN')]",0
20,"[(u'the', 'DT'), (u'food', 'NN'), (u'amaz', 'NN')]",1
21,"[(u'servic', 'NN'), (u'also', 'RB'), (u'cute', 'NN')]",1
22,"[(u'I', 'PRP'), (u'could', 'MD'), (u'care', 'VB'), (u'less', 'RBR'), (u'the', 'DT'), (u'interior', 'NN'), (u'beauti', 'NN')]",1
23,"[(u'So', 'RB'), (u'perform', 'VB')]",1
24,"[(u'that', 'DT'), (u'right', 'NN'), (u'red', 'VBD'), (u'velvet', 'JJ'), (u'cake', 'NN'), (u'ohhh', 'NN'), (u'stuff', 'NN'), (u'good', 'JJ')]",1
25,"[(u'they', 'PRP'), (u'never', 'RB'), (u'brought', 'VBD'), (u'salad', 'JJ'), (u'ask', 'NN')]",0
26,"[(u'thi', 'NN'), (u'hole', 'NN'), (u'wall', 'NN'), (u'great', 'JJ'), (u'mexican', 'JJ'), (u'street', 'NN'), (u'taco', 'NNS'), (u'friendli', 'JJ'), (u'staff', 'NN')]",1
27,"[(u'took', 'VBD'), (u'hour', 'NN'), (u'get', 'NN'), (u'food', 'NN'), (u'4', 'CD'), (u'tabl', 'NN'), (u'restaur', 'NN'), (u'food', 'NN'), (u'luke', 'NN'), (u'warm', 'VBD'), (u'our', 'PRP$'), (u'sever', 'NN'), (u'run', 'VBP'), (u'around', 'IN'), (u'like', 'IN'), (u'total', 'JJ'), (u'overwhelm', 'NN')]",0
28,"[(u'the', 'DT'), (u'worst', 'JJS'), (u'salmon', 'NN'), (u'sashimi', 'NN')]",0
29,"[(u'also', 'RB'), (u'combo', 'VBP'), (u'like', 'IN'), (u'burger', 'NN'), (u'fri', 'VBP'), (u'beer', 'NN'), (u'23', 'CD'), (u'decent', 'NN'), (u'deal', 'NN')]",1
30,"[(u'thi', 'NNS'), (u'like', 'IN'), (u'final', 'JJ'), (u'blow', 'NN')]",0
