,tokens,Sentiment,No Stops
0,"[u'Crust', u'is', u'not', u'good']",0,"[u'Crust', u'good']"
1,"[u'Not', u'tasty', u'and', u'the', u'texture', u'was', u'just', u'nasty']",0,"[u'Not', u'tasty', u'texture', u'nasty']"
2,"[u'Stopped', u'by', u'during', u'the', u'late', u'May', u'bank', u'holiday', u'off', u'Rick', u'Steve', u'recommendation', u'and', u'loved', u'it']",1,"[u'Stopped', u'late', u'May', u'bank', u'holiday', u'Rick', u'Steve', u'recommendation', u'loved']"
3,"[u'The', u'selection', u'on', u'the', u'menu', u'was', u'great', u'and', u'so', u'were', u'the', u'prices']",1,"[u'The', u'selection', u'menu', u'great', u'prices']"
4,"[u'Now', u'I', u'am', u'getting', u'angry', u'and', u'I', u'want', u'my', u'damn', u'pho']",0,"[u'Now', u'I', u'getting', u'angry', u'I', u'want', u'damn', u'pho']"
5,"[u'Honeslty', u'it', u'didn', u't', u'taste', u'THAT', u'fresh']",0,"[u'Honeslty', u'taste', u'THAT', u'fresh']"
6,"[u'The', u'potatoes', u'were', u'like', u'rubber', u'and', u'you', u'could', u'tell', u'they', u'had', u'been', u'made', u'up', u'ahead', u'of', u'time', u'being', u'kept', u'under', u'a', u'warmer']",0,"[u'The', u'potatoes', u'like', u'rubber', u'could', u'tell', u'made', u'ahead', u'time', u'kept', u'warmer']"
7,"[u'The', u'fries', u'were', u'great', u'too']",1,"[u'The', u'fries', u'great']"
8,"[u'A', u'great', u'touch']",1,"[u'A', u'great', u'touch']"
9,"[u'Service', u'was', u'very', u'prompt']",1,"[u'Service', u'prompt']"
10,"[u'Would', u'not', u'go', u'back']",0,"[u'Would', u'go', u'back']"
11,"[u'The', u'cashier', u'had', u'no', u'care', u'what', u'so', u'ever', u'on', u'what', u'I', u'had', u'to', u'say', u'it', u'still', u'ended', u'up', u'being', u'wayyy', u'overpriced']",0,"[u'The', u'cashier', u'care', u'ever', u'I', u'say', u'still', u'ended', u'wayyy', u'overpriced']"
12,"[u'I', u'tried', u'the', u'Cape', u'Cod', u'ravoli', u'chicken', u'with', u'cranberry', u'mmmm']",1,"[u'I', u'tried', u'Cape', u'Cod', u'ravoli', u'chicken', u'cranberry', u'mmmm']"
13,"[u'I', u'was', u'disgusted', u'because', u'I', u'was', u'pretty', u'sure', u'that', u'was', u'human', u'hair']",0,"[u'I', u'disgusted', u'I', u'pretty', u'sure', u'human', u'hair']"
14,"[u'I', u'was', u'shocked', u'because', u'no', u'signs', u'indicate', u'cash', u'only']",0,"[u'I', u'shocked', u'signs', u'indicate', u'cash']"
15,"[u'Highly', u'recommended']",1,"[u'Highly', u'recommended']"
16,"[u'Waitress', u'was', u'a', u'little', u'slow', u'in', u'service']",0,"[u'Waitress', u'little', u'slow', u'service']"
17,"[u'This', u'place', u'is', u'not', u'worth', u'your', u'time', u'let', u'alone', u'Vegas']",0,"[u'This', u'place', u'worth', u'time', u'let', u'alone', u'Vegas']"
18,"[u'did', u'not', u'like', u'at', u'all']",0,[u'like']
19,"[u'The', u'Burrittos', u'Blah']",0,"[u'The', u'Burrittos', u'Blah']"
20,"[u'The', u'food', u'amazing']",1,"[u'The', u'food', u'amazing']"
21,"[u'Service', u'is', u'also', u'cute']",1,"[u'Service', u'also', u'cute']"
