,tokens,Sentiment,No Stops,Unicode,Stemmed
0,"[u'Crust', u'is', u'not', u'good']",0,"[u'Crust', u'good']","[u'Crust', u'good']","[u'crust', u'good']"
1,"[u'Not', u'tasty', u'and', u'the', u'texture', u'was', u'just', u'nasty']",0,"[u'Not', u'tasty', u'texture', u'nasty']","[u'Not', u'tasty', u'texture', u'nasty']","[u'not', u'tasti', u'textur', u'nasti']"
2,"[u'Stopped', u'by', u'during', u'the', u'late', u'May', u'bank', u'holiday', u'off', u'Rick', u'Steve', u'recommendation', u'and', u'loved', u'it']",1,"[u'Stopped', u'late', u'May', u'bank', u'holiday', u'Rick', u'Steve', u'recommendation', u'loved']","[u'Stopped', u'late', u'May', u'bank', u'holiday', u'Rick', u'Steve', u'recommendation', u'loved']","[u'stop', u'late', u'may', u'bank', u'holiday', u'rick', u'steve', u'recommend', u'love']"
3,"[u'The', u'selection', u'on', u'the', u'menu', u'was', u'great', u'and', u'so', u'were', u'the', u'prices']",1,"[u'The', u'selection', u'menu', u'great', u'prices']","[u'The', u'selection', u'menu', u'great', u'prices']","[u'the', u'select', u'menu', u'great', u'price']"
4,"[u'Now', u'I', u'am', u'getting', u'angry', u'and', u'I', u'want', u'my', u'damn', u'pho']",0,"[u'Now', u'I', u'getting', u'angry', u'I', u'want', u'damn', u'pho']","[u'Now', u'I', u'getting', u'angry', u'I', u'want', u'damn', u'pho']","[u'now', u'I', u'get', u'angri', u'I', u'want', u'damn', u'pho']"
5,"[u'Honeslty', u'it', u'didn', u't', u'taste', u'THAT', u'fresh']",0,"[u'Honeslty', u'taste', u'THAT', u'fresh']","[u'Honeslty', u'taste', u'THAT', u'fresh']","[u'honeslti', u'tast', u'that', u'fresh']"
6,"[u'The', u'potatoes', u'were', u'like', u'rubber', u'and', u'you', u'could', u'tell', u'they', u'had', u'been', u'made', u'up', u'ahead', u'of', u'time', u'being', u'kept', u'under', u'a', u'warmer']",0,"[u'The', u'potatoes', u'like', u'rubber', u'could', u'tell', u'made', u'ahead', u'time', u'kept', u'warmer']","[u'The', u'potatoes', u'like', u'rubber', u'could', u'tell', u'made', u'ahead', u'time', u'kept', u'warmer']","[u'the', u'potato', u'like', u'rubber', u'could', u'tell', u'made', u'ahead', u'time', u'kept', u'warmer']"
7,"[u'The', u'fries', u'were', u'great', u'too']",1,"[u'The', u'fries', u'great']","[u'The', u'fries', u'great']","[u'the', u'fri', u'great']"
8,"[u'A', u'great', u'touch']",1,"[u'A', u'great', u'touch']","[u'A', u'great', u'touch']","[u'A', u'great', u'touch']"
9,"[u'Service', u'was', u'very', u'prompt']",1,"[u'Service', u'prompt']","[u'Service', u'prompt']","[u'servic', u'prompt']"
10,"[u'Would', u'not', u'go', u'back']",0,"[u'Would', u'go', u'back']","[u'Would', u'go', u'back']","[u'would', u'go', u'back']"
11,"[u'The', u'cashier', u'had', u'no', u'care', u'what', u'so', u'ever', u'on', u'what', u'I', u'had', u'to', u'say', u'it', u'still', u'ended', u'up', u'being', u'wayyy', u'overpriced']",0,"[u'The', u'cashier', u'care', u'ever', u'I', u'say', u'still', u'ended', u'wayyy', u'overpriced']","[u'The', u'cashier', u'care', u'ever', u'I', u'say', u'still', u'ended', u'wayyy', u'overpriced']","[u'the', u'cashier', u'care', u'ever', u'I', u'say', u'still', u'end', u'wayyy', u'overpr']"
12,"[u'I', u'tried', u'the', u'Cape', u'Cod', u'ravoli', u'chicken', u'with', u'cranberry', u'mmmm']",1,"[u'I', u'tried', u'Cape', u'Cod', u'ravoli', u'chicken', u'cranberry', u'mmmm']","[u'I', u'tried', u'Cape', u'Cod', u'ravoli', u'chicken', u'cranberry', u'mmmm']","[u'I', u'tri', u'cape', u'cod', u'ravoli', u'chicken', u'cranberri', u'mmmm']"
13,"[u'I', u'was', u'disgusted', u'because', u'I', u'was', u'pretty', u'sure', u'that', u'was', u'human', u'hair']",0,"[u'I', u'disgusted', u'I', u'pretty', u'sure', u'human', u'hair']","[u'I', u'disgusted', u'I', u'pretty', u'sure', u'human', u'hair']","[u'I', u'disgust', u'I', u'pretti', u'sure', u'human', u'hair']"
14,"[u'I', u'was', u'shocked', u'because', u'no', u'signs', u'indicate', u'cash', u'only']",0,"[u'I', u'shocked', u'signs', u'indicate', u'cash']","[u'I', u'shocked', u'signs', u'indicate', u'cash']","[u'I', u'shock', u'sign', u'indic', u'cash']"
15,"[u'Highly', u'recommended']",1,"[u'Highly', u'recommended']","[u'Highly', u'recommended']","[u'highli', u'recommend']"
16,"[u'Waitress', u'was', u'a', u'little', u'slow', u'in', u'service']",0,"[u'Waitress', u'little', u'slow', u'service']","[u'Waitress', u'little', u'slow', u'service']","[u'waitress', u'littl', u'slow', u'servic']"
17,"[u'This', u'place', u'is', u'not', u'worth', u'your', u'time', u'let', u'alone', u'Vegas']",0,"[u'This', u'place', u'worth', u'time', u'let', u'alone', u'Vegas']","[u'This', u'place', u'worth', u'time', u'let', u'alone', u'Vegas']","[u'thi', u'place', u'worth', u'time', u'let', u'alon', u'vega']"
18,"[u'did', u'not', u'like', u'at', u'all']",0,[u'like'],[u'like'],[u'like']
19,"[u'The', u'Burrittos', u'Blah']",0,"[u'The', u'Burrittos', u'Blah']","[u'The', u'Burrittos', u'Blah']","[u'the', u'burritto', u'blah']"
20,"[u'The', u'food', u'amazing']",1,"[u'The', u'food', u'amazing']","[u'The', u'food', u'amazing']","[u'the', u'food', u'amaz']"
21,"[u'Service', u'is', u'also', u'cute']",1,"[u'Service', u'also', u'cute']","[u'Service', u'also', u'cute']","[u'servic', u'also', u'cute']"
22,"[u'I', u'could', u'care', u'less', u'The', u'interior', u'is', u'just', u'beautiful']",1,"[u'I', u'could', u'care', u'less', u'The', u'interior', u'beautiful']","[u'I', u'could', u'care', u'less', u'The', u'interior', u'beautiful']","[u'I', u'could', u'care', u'less', u'the', u'interior', u'beauti']"
23,"[u'So', u'they', u'performed']",1,"[u'So', u'performed']","[u'So', u'performed']","[u'So', u'perform']"
24,"[u'That', u's', u'right', u'the', u'red', u'velvet', u'cake', u'ohhh', u'this', u'stuff', u'is', u'so', u'good']",1,"[u'That', u'right', u'red', u'velvet', u'cake', u'ohhh', u'stuff', u'good']","[u'That', u'right', u'red', u'velvet', u'cake', u'ohhh', u'stuff', u'good']","[u'that', u'right', u'red', u'velvet', u'cake', u'ohhh', u'stuff', u'good']"
25,"[u'They', u'never', u'brought', u'a', u'salad', u'we', u'asked', u'for']",0,"[u'They', u'never', u'brought', u'salad', u'asked']","[u'They', u'never', u'brought', u'salad', u'asked']","[u'they', u'never', u'brought', u'salad', u'ask']"
26,"[u'This', u'hole', u'in', u'the', u'wall', u'has', u'great', u'Mexican', u'street', u'tacos', u'and', u'friendly', u'staff']",1,"[u'This', u'hole', u'wall', u'great', u'Mexican', u'street', u'tacos', u'friendly', u'staff']","[u'This', u'hole', u'wall', u'great', u'Mexican', u'street', u'tacos', u'friendly', u'staff']","[u'thi', u'hole', u'wall', u'great', u'mexican', u'street', u'taco', u'friendli', u'staff']"
27,"[u'Took', u'an', u'hour', u'to', u'get', u'our', u'food', u'only', u'4', u'tables', u'in', u'restaurant', u'my', u'food', u'was', u'Luke', u'warm', u'Our', u'sever', u'was', u'running', u'around', u'like', u'he', u'was', u'totally', u'overwhelmed']",0,"[u'Took', u'hour', u'get', u'food', u'4', u'tables', u'restaurant', u'food', u'Luke', u'warm', u'Our', u'sever', u'running', u'around', u'like', u'totally', u'overwhelmed']","[u'Took', u'hour', u'get', u'food', u'4', u'tables', u'restaurant', u'food', u'Luke', u'warm', u'Our', u'sever', u'running', u'around', u'like', u'totally', u'overwhelmed']","[u'took', u'hour', u'get', u'food', u'4', u'tabl', u'restaur', u'food', u'luke', u'warm', u'our', u'sever', u'run', u'around', u'like', u'total', u'overwhelm']"
28,"[u'The', u'worst', u'was', u'the', u'salmon', u'sashimi']",0,"[u'The', u'worst', u'salmon', u'sashimi']","[u'The', u'worst', u'salmon', u'sashimi']","[u'the', u'worst', u'salmon', u'sashimi']"
29,"[u'Also', u'there', u'are', u'combos', u'like', u'a', u'burger', u'fries', u'and', u'beer', u'for', u'23', u'which', u'is', u'a', u'decent', u'deal']",1,"[u'Also', u'combos', u'like', u'burger', u'fries', u'beer', u'23', u'decent', u'deal']","[u'Also', u'combos', u'like', u'burger', u'fries', u'beer', u'23', u'decent', u'deal']","[u'also', u'combo', u'like', u'burger', u'fri', u'beer', u'23', u'decent', u'deal']"
30,"[u'This', u'was', u'like', u'the', u'final', u'blow']",0,"[u'This', u'like', u'final', u'blow']","[u'This', u'like', u'final', u'blow']","[u'thi', u'like', u'final', u'blow']"
31,"[u'I', u'found', u'this', u'place', u'by', u'accident', u'and', u'I', u'could', u'not', u'be', u'happier']",1,"[u'I', u'found', u'place', u'accident', u'I', u'could', u'happier']","[u'I', u'found', u'place', u'accident', u'I', u'could', u'happier']","[u'I', u'found', u'place', u'accid', u'I', u'could', u'happier']"
32,"[u'seems', u'like', u'a', u'good', u'quick', u'place', u'to', u'grab', u'a', u'bite', u'of', u'some', u'familiar', u'pub', u'food', u'but', u'do', u'yourself', u'a', u'favor', u'and', u'look', u'elsewhere']",0,"[u'seems', u'like', u'good', u'quick', u'place', u'grab', u'bite', u'familiar', u'pub', u'food', u'favor', u'look', u'elsewhere']","[u'seems', u'like', u'good', u'quick', u'place', u'grab', u'bite', u'familiar', u'pub', u'food', u'favor', u'look', u'elsewhere']","[u'seem', u'like', u'good', u'quick', u'place', u'grab', u'bite', u'familiar', u'pub', u'food', u'favor', u'look', u'elsewher']"
33,"[u'Overall', u'I', u'like', u'this', u'place', u'a', u'lot']",1,"[u'Overall', u'I', u'like', u'place', u'lot']","[u'Overall', u'I', u'like', u'place', u'lot']","[u'overal', u'I', u'like', u'place', u'lot']"
34,"[u'The', u'only', u'redeeming', u'quality', u'of', u'the', u'restaurant', u'was', u'that', u'it', u'was', u'very', u'inexpensive']",1,"[u'The', u'redeeming', u'quality', u'restaurant', u'inexpensive']","[u'The', u'redeeming', u'quality', u'restaurant', u'inexpensive']","[u'the', u'redeem', u'qualiti', u'restaur', u'inexpens']"
35,"[u'Ample', u'portions', u'and', u'good', u'prices']",1,"[u'Ample', u'portions', u'good', u'prices']","[u'Ample', u'portions', u'good', u'prices']","[u'ampl', u'portion', u'good', u'price']"
36,"[u'Poor', u'service', u'the', u'waiter', u'made', u'me', u'feel', u'like', u'I', u'was', u'stupid', u'every', u'time', u'he', u'came', u'to', u'the', u'table']",0,"[u'Poor', u'service', u'waiter', u'made', u'feel', u'like', u'I', u'stupid', u'every', u'time', u'came', u'table']","[u'Poor', u'service', u'waiter', u'made', u'feel', u'like', u'I', u'stupid', u'every', u'time', u'came', u'table']","[u'poor', u'servic', u'waiter', u'made', u'feel', u'like', u'I', u'stupid', u'everi', u'time', u'came', u'tabl']"
37,"[u'My', u'first', u'visit', u'to', u'Hiro', u'was', u'a', u'delight']",1,"[u'My', u'first', u'visit', u'Hiro', u'delight']","[u'My', u'first', u'visit', u'Hiro', u'delight']","[u'My', u'first', u'visit', u'hiro', u'delight']"
38,"[u'Service', u'sucks']",0,"[u'Service', u'sucks']","[u'Service', u'sucks']","[u'servic', u'suck']"
39,"[u'The', u'shrimp', u'tender', u'and', u'moist']",1,"[u'The', u'shrimp', u'tender', u'moist']","[u'The', u'shrimp', u'tender', u'moist']","[u'the', u'shrimp', u'tender', u'moist']"
40,"[u'There', u'is', u'not', u'a', u'deal', u'good', u'enough', u'that', u'would', u'drag', u'me', u'into', u'that', u'establishment', u'again']",0,"[u'There', u'deal', u'good', u'enough', u'would', u'drag', u'establishment']","[u'There', u'deal', u'good', u'enough', u'would', u'drag', u'establishment']","[u'there', u'deal', u'good', u'enough', u'would', u'drag', u'establish']"
41,"[u'Hard', u'to', u'judge', u'whether', u'these', u'sides', u'were', u'good', u'because', u'we', u'were', u'grossed', u'out', u'by', u'the', u'melted', u'styrofoam', u'and', u'didn', u't', u'want', u'to', u'eat', u'it', u'for', u'fear', u'of', u'getting', u'sick']",0,"[u'Hard', u'judge', u'whether', u'sides', u'good', u'grossed', u'melted', u'styrofoam', u'want', u'eat', u'fear', u'getting', u'sick']","[u'Hard', u'judge', u'whether', u'sides', u'good', u'grossed', u'melted', u'styrofoam', u'want', u'eat', u'fear', u'getting', u'sick']","[u'hard', u'judg', u'whether', u'side', u'good', u'gross', u'melt', u'styrofoam', u'want', u'eat', u'fear', u'get', u'sick']"
42,"[u'On', u'a', u'positive', u'note', u'our', u'server', u'was', u'very', u'attentive', u'and', u'provided', u'great', u'service']",1,"[u'On', u'positive', u'note', u'server', u'attentive', u'provided', u'great', u'service']","[u'On', u'positive', u'note', u'server', u'attentive', u'provided', u'great', u'service']","[u'On', u'posit', u'note', u'server', u'attent', u'provid', u'great', u'servic']"
43,"[u'Frozen', u'pucks', u'of', u'disgust', u'with', u'some', u'of', u'the', u'worst', u'people', u'behind', u'the', u'register']",0,"[u'Frozen', u'pucks', u'disgust', u'worst', u'people', u'behind', u'register']","[u'Frozen', u'pucks', u'disgust', u'worst', u'people', u'behind', u'register']","[u'frozen', u'puck', u'disgust', u'worst', u'peopl', u'behind', u'regist']"
44,"[u'The', u'only', u'thing', u'I', u'did', u'like', u'was', u'the', u'prime', u'rib', u'and', u'dessert', u'section']",1,"[u'The', u'thing', u'I', u'like', u'prime', u'rib', u'dessert', u'section']","[u'The', u'thing', u'I', u'like', u'prime', u'rib', u'dessert', u'section']","[u'the', u'thing', u'I', u'like', u'prime', u'rib', u'dessert', u'section']"
45,"[u'It', u's', u'too', u'bad', u'the', u'food', u'is', u'so', u'damn', u'generic']",0,"[u'It', u'bad', u'food', u'damn', u'generic']","[u'It', u'bad', u'food', u'damn', u'generic']","[u'It', u'bad', u'food', u'damn', u'gener']"
46,"[u'The', u'burger', u'is', u'good', u'beef', u'cooked', u'just', u'right']",1,"[u'The', u'burger', u'good', u'beef', u'cooked', u'right']","[u'The', u'burger', u'good', u'beef', u'cooked', u'right']","[u'the', u'burger', u'good', u'beef', u'cook', u'right']"
47,"[u'If', u'you', u'want', u'a', u'sandwich', u'just', u'go', u'to', u'any', u'Firehouse']",1,"[u'If', u'want', u'sandwich', u'go', u'Firehouse']","[u'If', u'want', u'sandwich', u'go', u'Firehouse']","[u'If', u'want', u'sandwich', u'go', u'firehous']"
48,"[u'My', u'side', u'Greek', u'salad', u'with', u'the', u'Greek', u'dressing', u'was', u'so', u'tasty', u'and', u'the', u'pita', u'and', u'hummus', u'was', u'very', u'refreshing']",1,"[u'My', u'side', u'Greek', u'salad', u'Greek', u'dressing', u'tasty', u'pita', u'hummus', u'refreshing']","[u'My', u'side', u'Greek', u'salad', u'Greek', u'dressing', u'tasty', u'pita', u'hummus', u'refreshing']","[u'My', u'side', u'greek', u'salad', u'greek', u'dress', u'tasti', u'pita', u'hummu', u'refresh']"
49,"[u'We', u'ordered', u'the', u'duck', u'rare', u'and', u'it', u'was', u'pink', u'and', u'tender', u'on', u'the', u'inside', u'with', u'a', u'nice', u'char', u'on', u'the', u'outside']",1,"[u'We', u'ordered', u'duck', u'rare', u'pink', u'tender', u'inside', u'nice', u'char', u'outside']","[u'We', u'ordered', u'duck', u'rare', u'pink', u'tender', u'inside', u'nice', u'char', u'outside']","[u'We', u'order', u'duck', u'rare', u'pink', u'tender', u'insid', u'nice', u'char', u'outsid']"
50,"[u'He', u'came', u'running', u'after', u'us', u'when', u'he', u'realized', u'my', u'husband', u'had', u'left', u'his', u'sunglasses', u'on', u'the', u'table']",1,"[u'He', u'came', u'running', u'us', u'realized', u'husband', u'left', u'sunglasses', u'table']","[u'He', u'came', u'running', u'us', u'realized', u'husband', u'left', u'sunglasses', u'table']","[u'He', u'came', u'run', u'us', u'realiz', u'husband', u'left', u'sunglass', u'tabl']"
51,"[u'Their', u'chow', u'mein', u'is', u'so', u'good']",1,"[u'Their', u'chow', u'mein', u'good']","[u'Their', u'chow', u'mein', u'good']","[u'their', u'chow', u'mein', u'good']"
52,"[u'They', u'have', u'horrible', u'attitudes', u'towards', u'customers', u'and', u'talk', u'down', u'to', u'each', u'one', u'when', u'customers', u'don', u't', u'enjoy', u'their', u'food']",0,"[u'They', u'horrible', u'attitudes', u'towards', u'customers', u'talk', u'one', u'customers', u'enjoy', u'food']","[u'They', u'horrible', u'attitudes', u'towards', u'customers', u'talk', u'one', u'customers', u'enjoy', u'food']","[u'they', u'horribl', u'attitud', u'toward', u'custom', u'talk', u'one', u'custom', u'enjoy', u'food']"
53,"[u'The', u'portion', u'was', u'huge']",1,"[u'The', u'portion', u'huge']","[u'The', u'portion', u'huge']","[u'the', u'portion', u'huge']"
54,"[u'Loved', u'it', u'friendly', u'servers', u'great', u'food', u'wonderful', u'and', u'imaginative', u'menu']",1,"[u'Loved', u'friendly', u'servers', u'great', u'food', u'wonderful', u'imaginative', u'menu']","[u'Loved', u'friendly', u'servers', u'great', u'food', u'wonderful', u'imaginative', u'menu']","[u'love', u'friendli', u'server', u'great', u'food', u'wonder', u'imagin', u'menu']"
